NAME,WDPA_ID,WDPA_PID,STATUS,STATUS ID,country,region,COUNTRYID,AnyApe,Napes,PT,GG,GB,Ppa,PP,PA,GREATAPEID,scholar_5.13,area,status_yr,age,Query
Cacongo,#N/A,,Forest Reserve,2,AGO,Africa,1,1,2,1,1,0,0,0,0,10,2,NA,NA,NA,"""Cacongo Forest Reserve"""
Bicuar,350,,National Park,1,AGO,Africa,1,0,0,0,0,0,0,0,0,2,11,7900,1964,49,"""Bicuar National Park"""
Cameia,349,,National Park,1,AGO,Africa,1,0,0,0,0,0,0,0,0,2,10,14450,1938,75,"""Cameia National Park"""
Cangandala,351,,National Park,1,AGO,Africa,1,0,0,0,0,0,0,0,0,2,13,630,1970,43,"""Cangandala National Park"""
Iona,347,,National Park,1,AGO,Africa,1,0,0,0,0,0,0,0,0,2,53,15920,1964,49,"""Iona National Park"""
Kissama,348,,National Park,1,AGO,Africa,1,0,0,0,0,0,0,0,0,2,12,12000,1957,56,"""Kissama National Park"""
Mupa,2249,,National Park,1,AGO,Africa,1,0,0,0,0,0,0,0,0,2,14,6600,1964,49,"""Mupa National Park"""
Luando,3066,,Nature Reserve,2,AGO,Africa,1,0,0,0,0,0,0,0,0,2,0,8280,1957,56,"""Luando Nature Reserve"""
Namibe,300291,,Regional Nature Park,2,AGO,Africa,1,0,0,0,0,0,0,0,0,2,0,4604,1973,40,"""Namibe Regional Nature Park"""
Kibira,9161,,National Park,1,BDI,Africa,2,1,2,1,0,1,0,0,0,8,97,400,1934,79,"""Kibira National Park"""
Rusizi,9162,,National Park,1,BDI,Africa,2,0,0,0,0,0,0,0,0,2,31,90,1980,33,"""Rusizi National Park"""
Ruvubu,9160,,National Park,1,BDI,Africa,2,0,0,0,0,0,0,0,0,2,42,508,1980,33,"""Ruvubu National Park"""
Chutes de Karera,9168,,Nature Monument,2,BDI,Africa,2,0,0,0,0,0,0,0,0,1,0,1,1980,33,"""Chutes de Karera Nature Monument"""
Nyakazu Gorge,9167,,Nature Monument,2,BDI,Africa,2,0,0,0,0,0,0,0,0,1,0,7,1980,33,"""Nyakazu Gorge Nature Monument"""
Bururi Forest,9164,,Nature Reserve,2,BDI,Africa,2,1,1,1,0,0,0,0,0,8,3,33,1951,62,"""Bururi Forest Nature Reserve"""
Gisagara,61707,,Nature Reserve,2,BDI,Africa,2,0,0,0,0,0,0,0,0,2,0,110,1993,20,"""Gisagara Nature Reserve"""
Kigwena Forest,9166,,Nature Reserve,2,BDI,Africa,2,1,1,1,0,0,0,0,0,8,0,8,1954,59,"""Kigwena Forest Nature Reserve"""
Lac Rwihinda,9163,,Nature Reserve,2,BDI,Africa,2,0,0,0,0,0,0,0,0,2,0,80,1959,54,"""Lac Rwihinda Nature Reserve"""
Makamba,101433,,Nature Reserve,2,BDI,Africa,2,1,1,1,0,0,0,0,0,8,0,120,1996,17,"""Makamba Nature Reserve"""
Monge Forest,28464,,Nature Reserve,2,BDI,Africa,2,0,0,0,0,0,0,0,0,1,0,50,1989,24,"""Monge Forest Nature Reserve"""
Rumonge,9165,,Nature Reserve,2,BDI,Africa,2,1,1,1,0,0,0,0,0,8,1,50,1980,33,"""Rumonge Nature Reserve"""
Vyanda Forest,101434,,Nature Reserve,2,BDI,Africa,2,1,1,1,0,0,0,0,0,8,0,6,1980,33,"""Vyanda Forest Nature Reserve"""
Mabanda/Nyanza-Lake,317143,,Protected Landscapes,2,BDI,Africa,2,1,1,1,0,0,0,0,0,8,0,35,2000,13,"""Mabanda/Nyanza-Lake Protected Landscapes"""
Mukungu-Rukamabasi,317142,,Protected Landscapes,2,BDI,Africa,2,1,1,1,0,0,0,0,0,8,0,50,2000,13,"""Mukungu-Rukamabasi Protected Landscapes"""
Abong-Mbang,146631,,Forest Reserve,2,CMR,Africa,3,1,2,1,1,0,0,0,0,10,1,NA,NA,NA,"""Abong-Mbang Forest Reserve"""
Ako,36476,,Forest Reserve,2,CMR,Africa,3,1,1,1,0,0,0,0,0,8,0,NA,NA,NA,"""Ako Forest Reserve"""
